Classification,Year,Period,Date Mapper,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201808,8/1/2018,1-Aug,6,1,2,Exports,208,Denmark,,643,Russian Federation,,,,,,,,,730441,"Steel, stainless; cold-drawn or cold-rolled, tubes and pipes of circular cross-section",,,,,,,24,,6724,,,0
HS,2018,201808,8/1/2018,1-Aug,6,1,2,Exports,620,Portugal,,643,Russian Federation,,,,,,,,,732111,"Cooking appliances and plate warmers; for gas fuel or for both gas and other fuels, of iron or steel",,,,,,,3128,,22182,,,0
HS,2018,201806,6/1/2018,1-Jun,6,1,2,Exports,620,Portugal,,643,Russian Federation,,,,,,,,,732393,"Steel, stainless; table, kitchen and other household articles and parts thereof",,,,,,,15206,,67099,,,0
HS,2018,201802,2/1/2018,1-Feb,6,1,2,Exports,705,Slovenia,,643,Russian Federation,,,,,,,,,732111,"Cooking appliances and plate warmers; for gas fuel or for both gas and other fuels, of iron or steel",,,,,,,59780,,463666,,,0
HS,2018,201802,2/1/2018,1-Feb,6,1,2,Exports,705,Slovenia,,643,Russian Federation,,,,,,,,,110313,Cereal groats and meal; of maize (corn),,,,,,,1210,,1016,,,0
HS,2018,201802,2/1/2018,1-Feb,6,1,2,Exports,705,Slovenia,,643,Russian Federation,,,,,,,,,230990,"Dog or cat food; (not put up for retail sale), used in animal feeding",,,,,,,56576,,189668,,,0
HS,2018,201803,3/1/2018,1-Mar,6,1,2,Exports,440,Lithuania,,643,Russian Federation,,,,,,,,,230990,"Dog or cat food; (not put up for retail sale), used in animal feeding",,,,,,,198575,,531433,,,0
HS,2018,201803,3/1/2018,1-Mar,6,1,2,Exports,440,Lithuania,,643,Russian Federation,,,,,,,,,151219,"Vegetable oils; sunflower seed or safflower oil and their fractions, other than crude, whether or not refined, but not chemically modified",,,,,,,720,,826,,,0
HS,2018,201803,3/1/2018,1-Mar,6,1,2,Exports,440,Lithuania,,643,Russian Federation,,,,,,,,,732393,"Steel, stainless; table, kitchen and other household articles and parts thereof",,,,,,,7360,,114976,,,0
HS,2018,201803,3/1/2018,1-Mar,6,1,2,Exports,440,Lithuania,,643,Russian Federation,,,,,,,,,730441,"Steel, stainless; cold-drawn or cold-rolled, tubes and pipes of circular cross-section",,,,,,,17053,,151886,,,0
HS,2018,201803,3/1/2018,1-Mar,6,1,2,Exports,440,Lithuania,,643,Russian Federation,,,,,,,,,732599,"Iron or steel; cast articles, excluding grinding balls and similar articles for mills, other than of non-malleable cast iron",,,,,,,25055,,117263,,,0
HS,2018,201802,2/1/2018,1-Feb,6,1,2,Exports,203,Czech Rep.,,643,Russian Federation,,,,,,,,,230990,"Dog or cat food; (not put up for retail sale), used in animal feeding",,,,,,,162573,,330968,,,0
HS,2018,201801,1/1/2018,1-Jan,4,0,2,Exports,705,Slovenia,,643,Russian Federation,,,,,,,,,2601,Iron ores and concentrates; including roasted iron pyrites,,,,,,,13240,,8636,,,0
HS,2018,201801,1/1/2018,1-Jan,6,1,2,Exports,705,Slovenia,,643,Russian Federation,,,,,,,,,110313,Cereal groats and meal; of maize (corn),,,,,,,1354,,1221,,,0
HS,2018,201801,1/1/2018,1-Jan,6,1,2,Exports,705,Slovenia,,643,Russian Federation,,,,,,,,,230990,"Dog or cat food; (not put up for retail sale), used in animal feeding",,,,,,,37792,,149461,,,0
HS,2018,201801,1/1/2018,1-Jan,6,1,2,Exports,705,Slovenia,,643,Russian Federation,,,,,,,,,732111,"Cooking appliances and plate warmers; for gas fuel or for both gas and other fuels, of iron or steel",,,,,,,21250,,193323,,,0
HS,2018,201803,3/1/2018,1-Mar,6,1,2,Exports,440,Lithuania,,643,Russian Federation,,,,,,,,,732111,"Cooking appliances and plate warmers; for gas fuel or for both gas and other fuels, of iron or steel",,,,,,,5191,,68968,,,0
HS,2018,201802,2/1/2018,1-Feb,6,1,2,Exports,620,Portugal,,643,Russian Federation,,,,,,,,,732393,"Steel, stainless; table, kitchen and other household articles and parts thereof",,,,,,,3,,343,,,0
HS,2018,201801,1/1/2018,1-Jan,6,1,2,Exports,124,Canada,,643,Russian Federation,,,,,,,,,732111,"Cooking appliances and plate warmers; for gas fuel or for both gas and other fuels, of iron or steel",,,,,,,0,,65456,,,0
HS,2018,201801,1/1/2018,1-Jan,6,1,2,Exports,348,Hungary,,643,Russian Federation,,,,,,,,,732599,"Iron or steel; cast articles, excluding grinding balls and similar articles for mills, other than of non-malleable cast iron",,,,,,,42,,545,,,0
HS,2018,201803,3/1/2018,1-Mar,6,1,2,Exports,348,Hungary,,643,Russian Federation,,,,,,,,,732599,"Iron or steel; cast articles, excluding grinding balls and similar articles for mills, other than of non-malleable cast iron",,,,,,,56,,770,,,0
